airportCode,airportName,cityName,countryName,similar,url
JER,Jersey,Jersey,?,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
JFK,New York-John F Kennedy,New York,USA,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
JMK,Mykonos,Mykonos,Greece,"['santorini', 'athens', 'toronto', 'barcelona', 'bucharest', 'istanbul', 'geneva', 'dubai', 'bangkok', 'london', 'new-york-city', 'budapest', 'santorini', 'athens', 'budapest', 'vienna', 'prague', 'berlin', 'barcelona', 'paris', 'amsterdam', 'london', 'lisbon', 'bangkok', 'new-york-city', 'las-vegas', 'san-francisco']",https://nomadlist.com/assets/img/cities/mykonos-greece-500px.jpg
JNB,Johannesburg International,Johannesburg,South Africa,"['cape-town', 'beirut', 'amsterdam', 'port-louis', 'bangkok', 'london', 'dubai', 'mexico-city', 'sydney', 'haarlem', 'doha', 'paris', 'cape-town', 'dubai', 'istanbul', 'barcelona', 'munich', 'singapore', 'paris', 'berlin', 'bangkok', 'amsterdam', 'london', 'edinburgh', 'bogota', 'mexico-city', 'san-francisco']",https://nomadlist.com/assets/img/cities/johannesburg-south-africa-500px.jpg
JTR,Thira,Thira,Greece,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
KBP,Kiev Borispol Intl,Kiev,Ukraine,"['lviv', 'budapest', 'moscow', 'kharkiv', 'minsk', 'berlin', 'warsaw', 'bangkok', 'london', 'odessa', 'tbilisi', 'vienna', 'lviv', 'vilnius', 'warsaw', 'moscow', 'budapest', 'vienna', 'prague', 'berlin', 'amsterdam', 'paris', 'london', 'barcelona', 'lisbon', 'bangkok', 'kuala-lumpur']",https://nomadlist.com/assets/img/cities/kiev-ukraine-500px.jpg
KEF,Keflavik International,Reykjavik,Iceland,"['london', 'new-york-city', 'malmo', 'berlin', 'paris', 'san-francisco', 'copenhagen', 'boston', 'stockholm', 'helsinki', 'barcelona', 'amsterdam', 'london', 'amsterdam', 'paris', 'berlin', 'madrid', 'lisbon', 'barcelona', 'budapest', 'athens', 'new-york-city', 'san-francisco', 'tokyo', 'chiang-mai', 'bangkok', 'singapore']",https://nomadlist.com/assets/img/cities/reykjavik-iceland-500px.jpg
KIN,Norman Manley International,Kingston,Jamaica,"['montego-bay', 'new-orleans', 'raleigh', 'montego-bay', 'medellin', 'new-orleans', 'new-york-city', 'toronto', 'puerto-vallarta', 'denver', 'barcelona', 'budapest', 'hong-kong', 'macau', 'chiang-mai', 'manila', 'bangkok', 'singapore']",https://nomadlist.com/assets/img/cities/kingston-jamaica-500px.jpg
KRK,Krakow,Krakow,Poland,"['warsaw', 'budapest', 'prague', 'wroclaw', 'berlin', 'copenhagen', 'amsterdam', 'lodz', 'london', 'vienna', 'lviv', 'paris', 'warsaw', 'budapest', 'vienna', 'prague', 'gdansk', 'berlin', 'amsterdam', 'paris', 'london', 'barcelona', 'lisbon', 'new-york-city', 'bangkok', 'tokyo', 'san-francisco']",https://nomadlist.com/assets/img/cities/krakow-poland-500px.jpg
KUL,Kuala Lumpur International,Kuala Lumpur,Malaysia,"['bangkok', 'singapore', 'chiang-mai', 'canggu', 'george-town-penang-malaysia', 'ubud', 'ho-chi-minh-city', 'phuket', 'jakarta', 'hong-kong', 'langkawi', 'ko-lanta', 'george-town-penang-malaysia', 'singapore', 'phuket', 'ho-chi-minh-city', 'bangkok', 'chiang-mai', 'canggu', 'ubud', 'hong-kong', 'tokyo', 'berlin', 'paris', 'london', 'barcelona', 'new-york-city']",https://nomadlist.com/assets/img/cities/kuala-lumpur-malaysia-500px.jpg
KWI,Kuwait,Kuwait,Kuwait,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
LAS,Las Vegas,Las Vegas,USA,"['los-angeles', 'san-francisco', 'new-york-city', 'chicago', 'san-diego', 'boston', 'vancouver', 'london', 'kansas-city', 'denver', 'mexico-city', 'atlanta', 'los-angeles', 'san-francisco', 'chicago', 'new-york-city', 'london', 'amsterdam', 'paris', 'tokyo', 'berlin', 'barcelona', 'rome', 'hong-kong', 'chiang-mai', 'bangkok', 'singapore']",https://nomadlist.com/assets/img/cities/las-vegas-nv-united-states-500px.jpg
LAX,Los Angeles,Los Angeles,USA,"['san-francisco', 'new-york-city', 'las-vegas', 'san-diego', 'london', 'chicago', 'seattle', 'boston', 'vancouver', 'tokyo', 'portland', 'austin', 'las-vegas', 'san-francisco', 'chicago', 'new-york-city', 'london', 'tokyo', 'amsterdam', 'paris', 'berlin', 'prague', 'barcelona', 'rome', 'hong-kong', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/los-angeles-ca-united-states-500px.jpg
LCA,Larnaca,Larnaca,Cyprus,"['limassol', 'beirut', 'panama-city', 'moscow', 'plovdiv', 'istanbul', 'chiang-mai', 'zurich', 'paphos', 'grenoble', 'los-angeles', 'split', 'budapest', 'vienna', 'berlin', 'barcelona', 'amsterdam', 'paris', 'london', 'dublin', 'porto', 'lisbon', 'chiang-mai', 'new-york-city', 'canggu', 'ubud', 'san-francisco']",https://nomadlist.com/assets/img/cities/larnaca-cyprus-500px.jpg
LED,St Petersburg,St Petersburg,Russia,[],http://logok.org/wp-content/uploads/2014/04/British-Airways-logo-ribbon-logo.png
LIM,Lima J Chavez Intl,Lima,Peru,"['cusco-peru', 'santiago', 'medellin', 'bogota', 'rio-de-janeiro', 'arequipa', 'barcelona', 'buenos-aires', 'madrid', 'mexico-city', 'cordoba', 'la-paz', 'cusco-peru', 'bogota', 'medellin', 'santiago', 'buenos-aires', 'mexico-city', 'new-york-city', 'san-francisco', 'lisbon', 'barcelona', 'london', 'paris', 'berlin', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/lima-peru-500px.jpg
LIN,Milan-Linate,Milan,Italy,"['venice', 'london', 'florence', 'lisbon', 'budapest', 'barcelona', 'paris', 'rome', 'zurich', 'sliema', 'turin', 'vienna', 'florence', 'rome', 'vienna', 'paris', 'prague', 'barcelona', 'budapest', 'amsterdam', 'berlin', 'london', 'lisbon', 'new-york-city', 'bangkok', 'san-francisco', 'kuala-lumpur']",https://nomadlist.com/assets/img/cities/milan-italy-500px.jpg
LIS,Lisbon,Lisbon,Portugal,"['porto', 'madrid', 'london', 'barcelona', 'paris', 'amsterdam', 'berlin', 'budapest', 'rome', 'dublin', 'new-york-city', 'prague', 'porto', 'madrid', 'barcelona', 'paris', 'london', 'amsterdam', 'prague', 'berlin', 'budapest', 'new-york-city', 'san-francisco', 'chiang-mai', 'bangkok', 'kuala-lumpur', 'singapore']",https://nomadlist.com/assets/img/cities/lisbon-portugal-500px.jpg
LOS,Lagos Murtala Muhammed International,Lagos,Nigeria,"['istanbul', 'montego-bay', 'mombasa', 'dahab', 'london', 'istanbul', 'paris', 'london', 'luton', 'amsterdam', 'warsaw', 'dubai', 'moscow', 'boston', 'new-york-city', 'bogota', 'medellin', 'toronto', 'atlanta', 'san-francisco']",https://nomadlist.com/assets/img/cities/lagos-nigeria-500px.jpg
LUX,Luxembourg International,Luxembourg,Luxembourg,"['haarlem', 'london', 'frankfurt', 'amsterdam', 'trier', 'bratislava', 'brussels', 'paris', 'cape-town', 'seattle', 'rotterdam', 'buenos-aires', 'brussels', 'bruges', 'paris', 'amsterdam', 'munich', 'london', 'copenhagen', 'bratislava', 'edinburgh', 'budapest', 'chicago', 'chiang-mai', 'hong-kong', 'cape-town', 'tokyo']",https://nomadlist.com/assets/img/cities/luxembourg-luxembourg-500px.jpg
LYS,Lyon,Lyon,France,"['paris', 'sofia', 'amsterdam', 'marseille', 'barcelona', 'prague', 'madrid', 'montreal', 'rome', 'lille', 'istanbul', 'taghazout', 'paris', 'barcelona', 'amsterdam', 'london', 'rome', 'madrid', 'budapest', 'lisbon', 'toronto', 'chiang-mai', 'san-francisco', 'bangkok', 'da-nang', 'hoi-an', 'canggu']",https://nomadlist.com/assets/img/cities/lyon-france-500px.jpg
MAA,Chennai,Chennai,India,"['paris', 'seattle', 'kochi', 'kolkata', 'dhaka', 'pune', 'mumbai', 'kollam', 'bangkok', 'goa', 'medellin', 'delhi', 'delhi', 'chiang-mai', 'bangkok', 'kuala-lumpur', 'singapore', 'dubai', 'hong-kong', 'canggu', 'tokyo', 'budapest', 'berlin', 'london', 'new-york-city', 'san-francisco', 'miami']",https://nomadlist.com/assets/img/cities/chennai-india-500px.jpg
MAD,Madrid,Madrid,Spain,"['barcelona', 'lisbon', 'amsterdam', 'paris', 'budapest', 'seville', 'porto', 'valencia', 'toulouse', 'las-palmas', 'dublin', 'chiang-mai', 'lisbon', 'barcelona', 'paris', 'london', 'rome', 'amsterdam', 'prague', 'vienna', 'berlin', 'budapest', 'new-york-city', 'san-francisco', 'chiang-mai', 'bangkok', 'tokyo']",https://nomadlist.com/assets/img/cities/madrid-spain-500px.jpg
MAN,Manchester,Manchester,England,"['london', 'amsterdam', 'bangkok', 'berlin', 'glasgow', 'dublin', 'shrewsbury', 'liverpool', 'lisbon', 'stockholm', 'vatican-city', 'chongqing', 'london', 'amsterdam', 'paris', 'berlin', 'prague', 'barcelona', 'budapest', 'lisbon', 'new-york-city', 'chiang-mai', 'tokyo', 'bangkok', 'ho-chi-minh-city', 'kuala-lumpur', 'singapore']",https://nomadlist.com/assets/img/cities/manchester-united-kingdom-500px.jpg
MCO,Orlando,Orlando,USA,"['miami', 'new-york-city', 'los-angeles', 'san-francisco', 'london', 'fort-lauderdale', 'boston', 'medellin', 'denver', 'atlanta', 'vancouver', 'bangkok', 'miami', 'new-york-city', 'las-vegas', 'los-angeles', 'san-francisco', 'london', 'paris', 'amsterdam', 'barcelona', 'berlin', 'prague', 'budapest', 'tokyo', 'chiang-mai', 'bangkok']",https://nomadlist.com/assets/img/cities/orlando-fl-united-states-500px.jpg
MCT,Muscat,Muscat,Oman,"['dubai', 'paris', 'bath', 'london', 'new-york-city', 'dubai', 'beirut', 'budapest', 'berlin', 'kuala-lumpur', 'ho-chi-minh-city', 'singapore', 'barcelona', 'paris', 'london', 'marrakesh', 'ubud', 'new-york-city', 'sydney', 'san-francisco']",https://nomadlist.com/assets/img/cities/muscat-oman-500px.jpg
